,Total_Stops,Price,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi,Day,Month,TotalTime,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday,dep_timezone_Morning,dep_timezone_Afternoon,dep_timezone_Evening,arrival_timezone_Morning,arrival_timezone_Afternoon,arrival_timezone_Evening,Additional_Info_1 short layover,Additional_Info_2 long layover,Additional_Info_business class,Additional_Info_change airports,Additional_Info_in-flight meal not included,Additional_Info_no check-in baggage included,Additional_Info_red-eye flight
0,0,3897,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,3,2.8333333333333335,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,2,7662,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,7.416666666666667,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2,2,13882,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,6,19.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,1,6218,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,5,5.416666666666667,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
4,1,13302,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4.75,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5,0,3873,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,24,6,2.4166666666666665,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
6,1,11087,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,3,15.5,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
7,1,22270,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,21.083333333333332,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,1,11087,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,3,25.5,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
9,1,8625,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,27,5,7.833333333333333,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
10,1,8907,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,6,13.25,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
11,0,4174,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,4,2.5833333333333335,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
12,0,4667,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,24,6,2.25,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
13,1,9663,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,5,12.166666666666666,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
14,0,4804,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,4,2.5833333333333335,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
15,2,14011,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,3,26.583333333333332,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
16,1,5830,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,15,4,4.5,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
17,1,10262,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12,6,22.583333333333332,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
18,2,13381,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12,6,23.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
19,1,12898,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,5,20.583333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
20,1,19495,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,3,5.166666666666667,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
21,1,6955,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,3,15.333333333333334,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
